pmid,title,abstract,category,tags,technology,biological_topic,confidence,has_new_data,has_code
41896221,"HIF1 inhibition targets tumoral and myeloid cells, and is a promising therapy for metastatic castration-resistant prostate cancer.","Metastatic prostate cancer (PCa) remains lethal due to limited effective therapies. PTEN and TP53 are commonly mutated tumor suppressors in metastatic PCa, yet the molecular and cellular mechanisms driving aggressiveness and treatment resistance are not fully understood. We have previously shown that mice with both Pten and Trp53 inactivation in prostate luminal cells at adulthood develop aggressive intraductal prostate carcinoma (IDC) and liver metastases. By combining single-cell and spatial t",Research,Niche & Microenvironment,,Cancer,medium,True,False
33197012,Murine Limb Bud Organ Cultures for Studying Musculoskeletal Development.,"The biological signals that coordinate the three-dimensional outgrowth and patterning of the vertebrate limb bud have been well delineated. These include a number of vital embryonic signaling pathways, including the fibroblast growth factor, WNT, transforming growth factor, and hedgehog. Collectively these signals converge on multiple progenitor populations to drive the formation of a variety of tissues that make up the limb musculoskeletal system, such as muscle, tendon, cartilage, stroma, and ",Protocol,,,Musculoskeletal,high,False,False
42143353,A multi-omics dissection of INHBA<sup>+</sup> CAF-mediated epithelial-mesenchymal transition and immune suppression in colorectal cancer.,"The progression of colorectal cancer (CRC) is profoundly influenced by the tumor microenvironment (TME). However, the spatial functional specialization of cancer-associated fibroblasts (CAFs) in driving malignancy and immune evasion remains poorly defined. This study aims to delineate the spatial and functional heterogeneity of specific CAF subpopulations in CRC. We performed single-cell RNA sequencing (scRNA-seq) on CRC tissues and integrated public datasets to map the stromal landscape. Key ce",Research,Cell-Cell Communication; Niche & Microenvironment; Spatial Domain Identification,Xenium,Cancer,high,True,False
41579565,POSTN⁺ cancer-associated fibroblast-CCL3⁺ macrophage crosstalk defines the immune-excluded tumor microenvironment in clear cell renal cell carcinoma.,"Clear cell renal cell carcinoma (ccRCC) frequently exhibits an immune-excluded tumor microenvironment (TME) that limits the efficacy of immune checkpoint blockade (ICB). However, the stromal-immune interactions responsible for this exclusion remain poorly understood. We integrated eight single-cell RNA sequencing datasets, two spatial transcriptomic datasets, and bulk transcriptomic cohorts to construct a comprehensive ccRCC TME atlas. Fibroblast subsets were characterized using clustering, traj",Research,Cell-Cell Communication; Niche & Microenvironment; Spatial Integration; Spatial Domain Identification,,Cancer,medium,False,False
41303670,Neural Cues and Genomic Clues: NGS Insights into Neurogenic Sarcopenia and Muscle Atrophy.,"Sarcopenia is a progressive loss of skeletal muscle mass and strength with major clinical and economic consequences. While traditional models emphasize mitochondrial dysfunction, inflammation, and proteostasis imbalance, emerging data highlight a neurogenic component involving motor neuron loss, fiber denervation, neuromuscular junction remodeling, and disrupted trophic signaling. To synthesize current evidence on neurogenic mechanisms of sarcopenia revealed by next-generation sequencing and rel",Review,,,Aging,medium,False,False
41393923,"Uncovering the genetic architecture of pungency, carotenoids, and flavor in <i>Capsicum chinense</i> via TWAS-mGWAS integration and spatial transcriptomics.","<i>Capsicum chinense</i> (habanero pepper) exhibits substantial variation in fruit pungency, color, and flavor due to its rich secondary metabolite composition, including capsaicinoids, carotenoids, and volatile organic compounds (VOCs). To dissect the genetic and regulatory basis of these traits, we conducted an integrative analysis across 244 diverse accessions using metabolite profiling, genome-wide association studies (GWAS), and transcriptome-wide association studies (TWAS). GWAS identified",Research,Spatial Domain Identification; Spatially Variable Genes; Multi-Omics Integration,Stereo-seq,Plant Biology,high,True,False
37696725,Resolving plant development in space and time with single-cell genomics.,"Single-cell genomics technologies are ushering in a new research era. In this review, we summarize the benefits and current challenges of using these technologies to probe the transcriptional regulation of plant development. In addition to profiling cells at a single snapshot in time, researchers have recently produced time-resolved datasets to map cell responses to stimuli. Live-imaging and spatial transcriptomic techniques are rapidly being adopted to link a cell's transcriptional profile with",Review,,,Plant Biology,high,False,False
38293110,Copper drives remodeling of metabolic state and progression of clear cell renal cell carcinoma.,"Copper (Cu) is an essential trace element required for mitochondrial respiration. Late-stage clear cell renal cell carcinoma (ccRCC) accumulates Cu and allocates it to mitochondrial cytochrome c oxidase. We show that Cu drives coordinated metabolic remodeling of bioenergy, biosynthesis and redox homeostasis, promoting tumor growth and progression of ccRCC. Specifically, Cu induces TCA cycle-dependent oxidation of glucose and its utilization for glutathione biosynthesis to protect against H <sub>",Research,Niche & Microenvironment,,Cancer,medium,True,False
39428126,Perioperative chemoimmunotherapy induces strong immune responses and long-term survival in patients with HLA class I-deficient non-small cell lung cancer.,"Loss of human leukocyte antigen (HLA) class I expression and loss of heterozygosity (LOH) are common events implicated in the primary resistance of non-small cell lung cancer (NSCLC) to immunotherapy. However, there is no data on perioperative chemoimmunotherapy (ChIO) efficacy or response mechanisms in the context of HLA class I defects. Baseline HLA class I tumor status (HLA-deficient (HLA-DEF) or HLA-proficient (HLA-PRO)) was determined by DNA LOH combined with immunohistochemistry for protei",Research,Niche & Microenvironment,Visium,Cancer,high,True,False
39614076,Granzyme K<sup>+</sup>CD8<sup>+</sup> T cells interact with fibroblasts to promote neutrophilic inflammation in nasal polyps.,"Sophisticated interactions between stromal and immune cells play crucial roles in various biological and pathological processes. In chronic rhinosinusitis with nasal polyps (CRSwNP), the upper airway inflammation in many patients is driven by T<sub>H</sub>2, ILC2, and eosinophils, thus being treated with glucocorticoids and anti-type 2 inflammation biologics. The resistance to these therapies is often associated with neutrophilic inflammation, which has also been widely identified in CRSwNP, but",Research,Cell-Cell Communication; Niche & Microenvironment,,Immunology,high,True,False
40956558,Epstein-barr virus (EBV) in cervical carcinoma detected by in situ hybridization targeting ebers and the viral genome.,"Epstein-Barr virus (EBV) infection has been suggested as a potential cofactor for the development and progression of cervical cancer, collaborating with high-risk Human Papillomavirus (HR-HPV). In situ hybridization (ISH) has been considered the gold standard in the investigation of EBV in neoplasms. This study aimed to detect EBV in cervical carcinoma samples using ISH targeting EBERs (EBER-ISH) and the BamHI-W region of the viral genome (BamHI-W-ISH), and compare the results of both targets. O",Research,,,Cancer,high,True,False
38394161,Digital spatial profiling of segmental outflow regions in trabecular meshwork reveals a role for ADAM15.,In this study we used a spatial transcriptomics approach to identify genes specifically associated with either high or low outflow regions in the trabecular meshwork (TM) that could potentially affect aqueous humor outflow in vivo. High and low outflow regions were identified and isolated from organ cultured human anterior segments perfused with fluorescently-labeled 200 nm FluoSpheres. The NanoString GeoMx Digital Spatial Profiler (DSP) platform was then used to identified genes in the paraffin,Research,Niche & Microenvironment,GeoMx,Ophthalmology,high,True,False
34226720,PaintSHOP enables the interactive design of transcriptome- and genome-scale oligonucleotide FISH experiments.,"Fluorescence in situ hybridization (FISH) allows researchers to visualize the spatial position and quantity of nucleic acids in fixed samples. Recently, considerable progress has been made in developing oligonucleotide (oligo)-based FISH methods that have enabled researchers to study the three-dimensional organization of the genome at super-resolution and visualize the spatial patterns of gene expression for thousands of genes in individual cells. However, there are few existing computational to",Technology,Image-Based Analysis,,,high,False,True
41294309,Primate amnion development.,"Formation of the amnion in humans is crucial for fetal development and a healthy pregnancy. In addition to providing a protective layer to the developing fetus as a component of the amniochorionic fetal membranes, the amnion serves as a signaling center for patterning early embryonic tissues. However, because the amnion is first specified in the human epiblast during implantation, the molecular and cellular events of this early amniogenic process in humans cannot be studied in utero. Recent deve",Review,,,Developmental Biology,medium,False,False
42081452,Syrah: a pipeline to maximize spatial transcriptomics data output.,"Spatial analysis of gene expression patterns has been a key technique for revealing the potential functions of genes. Traditionally, these analyses conducted using in-situ hybridizations and other labor-intensive protocols were constrained to examining only a few candidate genes per sample. However, the advent of spatial transcriptomic techniques like Slide-seqV2 has transformed this field, enabling massively parallel exploration of gene expression patterns within their tissue contexts by pairin",Technology,Spatial Preprocessing,Slide-seq; Curio Seeker,,high,False,True
38798691,Enhanced Complement Expression in the Tumor Microenvironment Following Neoadjuvant Therapy: Implications for Immunomodulation and Survival in Pancreatic Ductal Adenocarcinoma.,"Neoadjuvant therapy (NAT) is increasingly being used for pancreatic ductal adenocarcinoma (PDAC) treatment. However, its specific effects on carcinoma cells and the tumor microenvironment (TME) are not fully understood. This study aims to investigate how NAT differentially impacts PDAC's carcinoma cells and TME. Spatial transcriptomics was used to compare gene expression profiles in carcinoma cells and the TME between 23 NAT-treated and 13 NAT-naïve PDAC patients, correlating with their clinicop",Research,Niche & Microenvironment,,Cancer,medium,True,False
39544521,Spatially resolved transcriptomic signatures of hippocampal subregions and <i>Arc</i>-expressing ensembles in active place avoidance memory.,"The rodent hippocampus is a spatially organized neuronal network that supports the formation of spatial and episodic memories. We conducted bulk RNA sequencing and spatial transcriptomics experiments to measure gene expression changes in the dorsal hippocampus following the recall of active place avoidance (APA) memory. Through bulk RNA sequencing, we examined the gene expression changes following memory recall across the functionally distinct subregions of the dorsal hippocampus. We found that ",Research,,,Neuroscience,medium,True,False
41765358,PANX1-mediated NLRP3 inflammasome activation promotes an adaptive doxorubicin resistance through IL-1β signaling in breast cancer.,"Acquired resistance to chemotherapy is a major clinical obstacle in breast cancer treatment. While inflammasome activation is often induced during chemotherapy, its role in regulating therapeutic resistance remains poorly understood. Pannexin-1 (PANX1), a transmembrane channel protein, is a potential regulator of inflammation, but its function in chemoresistance has not been explored. We used a multifaceted approach combining single-cell/spatial transcriptomics of patient cohorts and functional ",Research,,,Cancer,medium,True,False
40866351,Clonal diversity shapes the tumour microenvironment leading to distinct immunotherapy responses in metastatic urothelial carcinoma.,"Repeated oncogenic mutations and polyclonal proliferation are evident in cancers. However, little is known about the polyclonal principles governing the systemic cancerous lineage during immunotherapy. Here, we examine a unique autopsy case of metastatic urothelial carcinoma that exhibits different treatment responses to anti-PD-1 therapy at each tumor site. By performing in-depth analyses of different multiregional bulk tumor masses, we reveal that subsets of subclones acquire potential driver ",Research,Niche & Microenvironment; Spatial Domain Identification,,Cancer,medium,True,False
38352580,Spatial domain detection using contrastive self-supervised learning for spatial multi-omics technologies.,"Recent advances in spatially-resolved single-omics and multi-omics technologies have led to the emergence of computational tools to detect or predict spatial domains. Additionally, histological images and immunofluorescence (IF) staining of proteins and cell types provide multiple perspectives and a more complete understanding of tissue architecture. Here, we introduce Proust, a scalable tool to predict discrete domains using spatial multi-omics data by combining the low-dimensional representati",Technology,Spatial Domain Identification; Multi-Omics Integration; Image-Based Analysis,,,medium,False,True
39710940,Spatial Proteomics towards cellular Resolution.,"Spatial biology is an emerging interdisciplinary field facilitating biological discoveries through the use of spatial omics technologies. Recent advancements in spatial transcriptomics, spatial genomics (e.g. genetic mutations and epigenetic marks), multiplexed immunofluorescence, and spatial metabolomics/lipidomics have enabled high-resolution spatial profiling of gene expression, genetic variation, protein expression, and metabolites/lipids profiles in tissue. These developments contribute to ",Review,,LCM / Microdissection,,medium,False,False
30121694,"Diagnostic Value Comparison of Urothelium Carcinoma Among Urine Exfoliated Cells Fluorescent In Situ Hybridization (FISH) Examination, Computerized Tomography (CT) Scan, and Urine Cytologic Examination.","BACKGROUND This study aimed to compare the clinical effectiveness of urine exfoliated cells FISH examination, CT scan, and urine cytologic examination on the diagnosis of upper urinary tract urothelium carcinoma with hematuresis symptom. MATERIAL AND METHODS A total of 30 patients with suspicious upper urinary tract urothelium carcinoma between Aug 2010 and Aug 2011 were enrolled, including 23 males and 7 females. All the subjects received urine exfoliated cells FISH examination, CT scan, and ur",Research,,,Cancer,low,False,False
38907917,Visualization of Individual RNA Molecules by Proximity Ligation-Based Chromogenic In Situ Hybridization Assay.,"RNA in situ hybridization reveals the abundance and location of gene expression in cells or tissues, providing a technical basis for the clinical diagnosis of diseases. In this chapter, we show a ""V"" shape probe-mediated single-molecule chromogenic in situ hybridization (vsmCISH) technique for bright-field visualization of individual RNA molecules. In our method, several pairs of target hybridization probes are hybridized to RNA molecules and each probe pair forms a ""V"" shape overhang. The overh",Technology,,,,medium,False,False
38946588,Granulosa Cell-Layer Stiffening Prevents Escape of Mural Granulosa Cells from the Post-Ovulatory Follicle.,"Ovulation is vital for successful reproduction. Following ovulation, cumulus cells and oocyte are released, while mural granulosa cells (mGCs) remain sequestered within the post-ovulatory follicle to form the corpus luteum. However, the mechanism underlying the confinement of mGCs has been a longstanding mystery. Here, in vitro and in vivo evidence is provided demonstrating that the stiffening of mGC-layer serves as an evolutionarily conserved mechanism that prevents mGCs from escaping the post-",Research,,,,medium,True,False
32470320,A Clickable APEX Probe for Proximity-Dependent Proteomic Profiling in Yeast.,"The engineered ascorbate peroxidase (APEX) is a powerful tool for the proximity-dependent labeling of proteins and RNAs in live cells. Although widely use in mammalian cells, APEX applications in microorganisms have been hampered by the poor labeling efficiency of its biotin-phenol (BP) substrate. In this study, we sought to address this challenge by designing and screening a panel of alkyne-functionalized substrates. Our best probe, Alk-Ph, substantially improves APEX-labeling efficiency in int",Technology,,,,medium,True,False
27418132,Responses to crizotinib in patients with ALK-positive lung adenocarcinoma who tested immunohistochemistry (IHC)-positive and fluorescence in situ hybridization (FISH)-negative.,"Although the Ventana immunohistochemistry (IHC) platform for detecting anaplastic lymphoma kinase gene (ALK) (D5F3) expression was recently approved by the US Food and Drugs Administration (FDA), fluorescence in situ hybridization (FISH) is still the ""gold-standard"" method recommended by the US National Comprehensive Cancer Network (NCCN) guideline for NSCLC. We evaluated 6 ALK-positive lung adenocarcinoma patients who tested Ventana IHC-positive and FISH-negative and assessed their clinical res",Research,,,Cancer,high,True,False
40671812,Spatiotemporal transcriptomic profiling reveals metabolic dysfunction prior to overt tauopathy in the PS19 mouse model.,"Abnormal accumulation of hyperphosphorylated tau in neurofibrillary tangles is a hallmark of neurodegenerative diseases, such as Alzheimer's disease (AD) and frontotemporal dementia. In AD, tangle pathology characteristically develops in brain regions with heightened vulnerability, such as the entorhinal cortex and hippocampus. Emerging evidence implicates mitochondrial dysfunction and metabolic disturbances in AD progression, yet the relationship between regional vulnerability and pretangle tau",Research,,,Neuroscience,medium,True,False
29130203,Live Imaging of Nuclear RNPs in Mammalian Complex Tissue with ECHO-liveFISH.,"Multiplex RNA detection with fluorescence microscopy offers high spatial and temporal resolution required for addressing complex behaviors of RNA in living cells. Using chemically engineered linear oligonucleotide probes that emit fluorescence upon hybridization to target RNA, we have devised an imaging method suitable for studies of the dynamic regulation of nuclear RNPs, an important and yet poorly understood cellular pathway of gene expression. This new method labels specific sequences of RNA",Technology,Image-Based Analysis,,Neuroscience,high,True,False
40627455,Hair follicle epithelial stem cells contribute to interfollicular epidermis during homeostasis.,"Mammalian skin is a vital barrier with the epidermis serving as its protective outer layer, continually undergoing renewal. Given that loss of the epidermis or its barrier function is lethal for mammals, multiple stem cell populations likely exist for the interfollicular epidermis (IFE), enhancing evolutionary survival. Here, we demonstrate that transcription factor KROX20 marks a heterogeneous stem cell population in the upper and middle mouse hair follicle (HF), partially overlapping with know",Research,,,Dermatology,high,True,False
41369196,Slicing overcomes the bacterial cell wall barrier to fluorescence <i>in situ</i> hybridization.,"Simultaneous visualization of all bacterial species in a polymicrobial biofilm by fluorescence <i>in situ</i> hybridization (FISH) remains a challenge because bacterial taxa respond differently to the hybridization procedure. This heterogeneity is due, in part, to the cell wall barrier of Gram-positive taxa. Enzymatic procedures required to permeabilize the cell walls of Gram-positive microbes can result in the disruption or loss of Gram-negative bacteria. Here, we demonstrate a procedure that e",Protocol,,,,medium,True,False
41269758,Spatial transcriptomics reveals immune-stromal crosstalk within the synovium of patients with juvenile idiopathic arthritis.,"Juvenile idiopathic arthritis (JIA) is the most prevalent chronic inflammatory arthritis of childhood, yet the spatial organization in the synovium remains poorly understood. Here, we perform subcellular-resolution spatial transcriptomic profiling of synovial tissue from patients with active JIA. We identify diverse immune and stromal cell populations and reconstruct spatially defined cellular niches. Applying a newly developed spatial colocalization analysis pipeline, we uncover microanatomical",Research,Spatial Domain Identification; Cell-Cell Communication; Niche & Microenvironment,,Musculoskeletal,high,True,True
40945518,Multi-scaled transcriptomics of chronically inflamed nasal epithelium reveals immune-epithelial dynamics and tissue remodeling in nasal polyp formation.,"Chronic rhinosinusitis (CRS) is a common chronic inflammatory disease of the sinonasal cavity affecting millions worldwide. Its complex pathophysiology remains poorly understood, with emerging evidence implicating interactions between diverse immune and epithelial cells in disease progression. We applied single-cell RNA sequencing (scRNA-seq) and spatial transcriptomics to both dissociated and intact human tissues from individuals with CRS with and without nasal polyps and compared them with con",Research,Spatial Trajectory Inference; Cell-Cell Communication; Spatial Integration,,Immunology,medium,True,False
38406595,Applications of single‑cell omics and spatial transcriptomics technologies in gastric cancer (Review).,"Gastric cancer (GC) is a prominent contributor to global cancer-related mortalities, and a deeper understanding of its molecular characteristics and tumor heterogeneity is required. Single-cell omics and spatial transcriptomics (ST) technologies have revolutionized cancer research by enabling the exploration of cellular heterogeneity and molecular landscapes at the single-cell level. In the present review, an overview of the advancements in single-cell omics and ST technologies and their applica",Review,,,Cancer,high,False,False
39692961,Aging and head and neck cancer insights from single cell and spatial transcriptomic analyses.,"Head and neck squamous cell carcinoma(HNSCC) is the sixth most common malignancy worldwide, with more than 890,000 new cases and 450,000 deaths annually. Its major risk factors include smoking, alcohol abuse, aging, and poor oral hygiene. Due to the lack of early and effective detection and screening methods, many patients are diagnosed at advanced stages with a five-year survival rate of less than 50%. In this study, we deeply explored the expression of Aging-related genes(ARGs) in HNSCC and an",Research,Cell-Type Deconvolution; Spatial Preprocessing,,Cancer,medium,False,False
39583094,Development of mutated β-catenin gene signature to identify <i>CTNNB1</i> mutations from whole and spatial transcriptomic data in patients with HCC.,"Patients with β-catenin (encoded by <i>CTNNB1</i>)-mutated hepatocellular carcinoma (HCC) demonstrate heterogenous responses to first-line immune checkpoint inhibitors (ICIs). Precision-medicine based treatments for this subclass are currently in clinical development. Here, we report derivation of the Mutated β-catenin Gene Signature (MBGS) to predict <i>CTNNB1</i>-mutational status in patients with HCC for future application in personalized medicine treatment regimens. Co-expression of mutant-N",Research,Niche & Microenvironment; Benchmarking & Evaluation; Spatial Integration,,Liver & Hepatology,medium,False,False
39374811,"Bulk integrated single-cell-spatial transcriptomics reveals the impact of preoperative chemotherapy on cancer-associated fibroblasts and tumor cells in colorectal cancer, and construction of related predictive models using machine learning.","Preoperative chemotherapy (PC) is an important component of Colorectal cancer (CRC) treatment, but its effects on the biological functions of fibroblasts and epithelial cells in CRC are unclear. This study utilized bulk, single-cell, and spatial transcriptomic sequencing data from 22 independent cohorts of CRC. Through bioinformatics analysis and in vitro experiments, the research investigated the impact of PC on fibroblast and epithelial cells in CRC. Subpopulations associated with PC and CRC p",Research,Niche & Microenvironment; Cell-Cell Communication; Spatial Integration,,Cancer,medium,False,False
39238121,Using colorimetric in situ hybridisation method for FcaPV-2 to estimate postsurgical prognosis in feline Bowenoid in situ carcinoma.,"Feline Bowenoid in situ carcinoma (BISC) is frequently associated with Felis catus papillomavirus-2 (FcaPV-2). Although surgical excision of BISC is expected to be curative, recurrent lesions are reported and it is not known whether it is a consequence of incomplete surgery or residual viral load. To combine colorimetric in situ hybridisation (CISH) and quantitative (q)PCR for the detection of viral DNA, and to correlate the clinical outcome of cats with BISC in which FcaPV-2 DNA is detected at ",Research,,,Cancer,low,True,False
39527218,Homebuilt Imaging-Based Spatial Transcriptomics: Tertiary Lymphoid Structures as a Case Example.,"Spatial transcriptomics methods provide insight into the cellular heterogeneity and spatial architecture of complex, multicellular systems. Combining molecular and spatial information provides important clues to study tissue architecture in development and disease. Here, we present a comprehensive do-it-yourself (DIY) guide to perform such experiments at reduced costs leveraging open-source approaches. This guide spans the entire life cycle of a project, from its initial definition to experiment",Protocol,Image-Based Analysis; Spatial Preprocessing,,Immunology,medium,False,False
37770450,Thalamocortical control of cell-type specificity drives circuits for processing whisker-related information in mouse barrel cortex.,"Excitatory spiny stellate neurons are prominently featured in the cortical circuits of sensory modalities that provide high salience and high acuity representations of the environment. These specialized neurons are considered developmentally linked to bottom-up inputs from the thalamus, however, the molecular mechanisms underlying their diversification and function are unknown. Here, we investigated this in mouse somatosensory cortex, where spiny stellate neurons and pyramidal neurons have disti",Research,Spatially Variable Genes,,Neuroscience,medium,True,False
41968061,Senescence Programs Shape the Chronic Wound Microenvironment.,"Chronic wounds such as diabetic foot ulcers, venous leg ulcers, and pressure ulcers are characterized by impaired healing and persistent inflammation. Cellular senescence, defined as irreversible growth arrest with a pro-inflammatory secretory phenotype (senescence-associated secretory phenotype), has emerged as a potential driver of these nonhealing states. While transient induction of senescence may aid acute repair, chronic accumulation of senescent cells is thought to disrupt tissue regenera",Review,,,Dermatology,medium,False,False
27151704,Assessment of chromosomal aneuploidies in sperm of infertile males by using FISH technique.,"Reproductive failure is one of the most important issues for the population at age of procreation and approximately 15% of the couples who try to conceive a baby encounter reproductive difficulties. In this study, we used multicolor fluorescent in situ hybridization (FISH) probes for chromosomes 13, 18, 21, X and Y to evaluate the aneuploidy incidence in sperm cells. The study group included 35 males with infertility and oligoasthenoteratozoospermia (OAT) and 20 males with normal fertility and n",Research,,,,high,True,False
40500276,"Spatial organization, chromatin accessibility and gene-regulatory programs defining mouse sensory neurons.","Heterogeneity among somatosensory neurons is necessary for internal and external sensation. Precise patterns of gene transcription orchestrated through enhancer activation maintain heterogeneity. Thus, high-resolution cell type classification, chromatin accessibility and its relation to enhancer activation can explain the governing principles for sensory neuron heterogeneity. Here, we present an integrated atlas from published high-quality scRNA-seq datasets and resequencing the dorsal root gang",Research,Spatial Domain Identification; Spatial Integration; Multi-Omics Integration,MERSCOPE,Neuroscience,high,True,False
40087269,Expression of ENL YEATS domain tumor mutations in nephrogenic or stromal lineage impairs kidney development.,"Recurrent gain-of-function mutations in the histone reader protein ENL have been identified in Wilms tumor, the most prevalent pediatric kidney cancer. However, their pathological significance in kidney development and tumorigenesis in vivo remains elusive. Here, we generate mouse models mimicking ENL tumor (ENL<sup>T</sup>) mutations and show that heterozygous mutant expression in Six2<sup>+</sup> nephrogenic or Foxd1<sup>+</sup> stromal lineages leads to severe, lineage-specific kidney defects",Research,Spatial Domain Identification; Niche & Microenvironment,,Cancer,medium,True,False
41228276,Integrated Multi-Omics Analysis Identifies SRI as a Critical Target Promoting Gastric Cancer Progression and Associated with Poor Prognosis.,"<b>Background:</b> We aimed to identify key molecular drivers of gastric cancer progression and poor prognosis by integrating multi-omics analyses with experimental validation. <b>Methods:</b> Single-cell RNA-seq data were clustered to delineate major cell types. InferCNV identified tumor epithelial cells, and reclustering revealed a malignant subset with poor prognosis. The overlap between subset markers and The Cancer Genome Atlas Stomach Adenocarcinoma (TCGA-STAD) upregulated differentially e",Research,Multi-Omics Integration,,Cancer,medium,False,False
28608010,Transcriptome Architecture of Adult Mouse Brain Revealed by Sparse Coding of Genome-Wide In Situ Hybridization Images.,"Highly differentiated brain structures with distinctly different phenotypes are closely correlated with the unique combination of gene expression patterns. Using a genome-wide in situ hybridization image dataset released by Allen Mouse Brain Atlas, we present a data-driven method of dictionary learning and sparse coding. Our results show that sparse coding can elucidate patterns of transcriptome organization of mouse brain. A collection of components obtained from sparse coding display robust re",Research,Image-Based Analysis; Spatial Co-Expression,,Neuroscience,medium,False,True
40742809,A spatial imaging-transcriptomics paradigm for deciphering the molecular basis of microscopic MRI in the normal brain and Alzheimer's disease.,"Imaging genomics offers powerful links between genetics and neuroimaging phenotypes, but conventional methods often lack spatial correspondence. We introduce spatial imaging-transcriptomics, a paradigm that directly integrates magnetic resonance imaging (MRI) and spatially resolved transcriptomics (ST) with matched resolution from the same brain through spatially co-registered maps. We apply this framework to wild-type and Alzheimer's disease (AD) mouse models to uncover the molecular underpinni",Technology,Spatial Integration; Multi-Omics Integration; Image-Based Analysis,,Neuroscience,medium,True,False
39583806,Non-coding RNAs in oral cancer: Emerging biomarkers and therapeutic frontier.,"Around the world, oral cancer (OC) is a major public health problem, resulting in a significant number of deaths each year. Early detection and treatment are crucial for improving patient outcomes. Recent progress in DNA sequencing and transcriptome profiling has revealed extensive non-coding RNAs (ncRNAs) transcription, underscoring their regulatory importance. NcRNAs influence genomic transcription and translation and molecular signaling pathways, making them valuable for various clinical appl",Review,,,Cancer,medium,False,False
42156717,Spatial single-cell landscape of tumor-associated macrophages and their crosstalk with the tumor microenvironment.,"Tumor-associated macrophages (TAMs) constitute a critical immune cell population within the tumor microenvironment (TME) and exhibit high functional heterogeneity. In this study, a pan-cancer atlas comprising 28 TAM subtypes was systematically constructed by integrating single-cell transcriptomic and spatial transcriptomic data from 291 human samples across 16 cancer types. The biological characteristics and spatial distribution patterns of these subtypes within the TME as well as the interactio",Research,Spatial Integration; Cell-Type Deconvolution; Cell-Cell Communication; Niche & Microenvironment,,Cancer,medium,False,False
40501673,Spatiotemporal transcriptomic analysis during cold ischemic injury to the murine kidney reveals compartment-specific changes.,"Kidney transplantation is the gold standard treatment strategy for end-stage renal disease. Deceased donor kidneys usually undergo cold storage until kidney transplantation, leading to cold ischemia injury that may contribute to poor graft outcomes. However, the molecular characterization of potential mechanisms of cold ischemia injury remains incomplete. To bridge this knowledge gap, we leveraged spatial transcriptomics technology to perform full transcriptome characterization of cold ischemia ",Research,Spatial Domain Identification; Spatial Preprocessing; Niche & Microenvironment; Spatial Integration,,Kidney & Nephrology,high,True,True
39388223,Sulfur-oxidizing symbionts colonize the digestive tract of their lucinid hosts.,"Like many marine invertebrates, marine lucinid clams have an intimate relationship with beneficial sulfur-oxidizing bacteria located within specialized gill cells known as bacteriocytes. Most previous research has focused on the symbionts in the gills of these (and other) symbiotic bivalves, often assuming that the symbionts only persistently colonize the gills, at least in the adult stage. We used 16S rRNA gene sequencing and digital polymerase chain reaction with symbiont-specific primers targ",Research,Image-Based Analysis,,,medium,True,False
41787252,Multi-Omics Data Reveal Estrogen-Driven Dysregulation and Stromal-Epithelial Signaling Alterations in Endometrial Polyps.,"Endometrial polyps (EPs) are common uterine lesions associated with abnormal uterine bleeding and infertility, yet their pathogenesis remains poorly defined. Here, we performed single-cell RNA sequencing of normal endometrium, para-polyp, and polyp tissues, identifying distinct cellular compositions and transcriptional programs. EPs showed enhanced estrogen signaling and increased epithelial proliferation, accompanied by decreased expression of cytokines and reduced T cell cytotoxicity. Notably,",Research,Cell-Cell Communication; Multi-Omics Integration,,Cancer,high,True,False
38811360,SpaNCMG: improving spatial domains identification of spatial transcriptomics using neighborhood-complementary mixed-view graph convolutional network.,"The advancement of spatial transcriptomics (ST) technology contributes to a more profound comprehension of the spatial properties of gene expression within tissues. However, due to challenges of high dimensionality, pronounced noise and dynamic limitations in ST data, the integration of gene expression and spatial information to accurately identify spatial domains remains challenging. This paper proposes a SpaNCMG algorithm for the purpose of achieving precise spatial domain description and loca",Technology,Spatial Domain Identification; Benchmarking & Evaluation,,Neuroscience,high,False,True
40747415,Towards interpretable molecular and spatial analysis of the tumor microenvironment from digital histopathology images with HistoTME-v2.,"The tumor microenvironment (TME) is a critical focus for biomarker discovery and therapeutic targeting in cancer. However, widespread clinical adoption of TME profiling is hindered by the high cost and technical complexity of current platforms such as spatial transcriptomics and proteomics. Artificial Intelligence (AI)-based analysis of the TME from routine Hematoxylin & Eosin (H&E)-stained pathology slides presents a promising alternative. Yet, most existing deep learning approaches depend on e",Technology,Image-Based Analysis,Visium,Cancer,high,False,True
36590163,Alternative normalization and analysis pipeline to address systematic bias in NanoString GeoMx Digital Spatial Profiling data.,"Spatial transcriptomics is a novel technique that provides RNA-expression data with tissue-contextual annotations. Quality assessments of such techniques using end-user generated data are often lacking. Here, we evaluated data from the NanoString GeoMx Digital Spatial Profiling (DSP) platform and standard processing pipelines. We queried 72 ROIs from 12 glioma samples, performed replicate experiments of eight samples for validation, and evaluated five external datasets. The data consistently sho",Research,Spatial Preprocessing; Benchmarking & Evaluation; Spatial Co-Expression,GeoMx,Cancer,high,True,False
